"1","ขอความช่วยเหลือหน่อย"
"2","ขอความช่วยเหลือผ่านไลน์หน่อย"
"3","ตอนนี้รู้สึกไม่สบายช่วยด้วย"
"4","ช่วยด้วย"
"5","ขอความช่วยเหลือหน่อย"
"6","เหตุฉุกเฉินขอความช่วยเหลือหน่อย"
"7","ขอความช่วยเหลือหน่อยสิ"
"8","ช่วยเหลือฉันทีแสนดี"
"9","ฉุกเฉินมาก"
"10","เรียกรถโรงบาลเหตุฉุกเฉิน"
"11","ช่วยเหลือฉันด้วย"
"12","ขอความช่วยเหลือผ่านไลน์"
"13","ขอความช่วยเหลือผ่านไลน์หน่อยสิ"
"14","ขอความช่วยเหลือผ่านไลน์ทีสิ"
"15","ขอความช่วยเหลือผ่านไลน์เดี๋ยวนี้"
"16","ขอความช่วยเหลือผ่านไลน์ด่วนๆ"
"17","เหตุฉุกเฉินขอความช่วยเหลือผ่านไลน์"
"18","ขอความช่วยเหลือผ่านไลน์เร็วเข้า"
"19","ฉุกเฉินมาก"
"20","เหตุฉุกเฉินช่วยด้วย"
"21","ช่วยด้วย เรียกคนมาช่วยที"
