"1","อยากฟัง[MUSIT]เพลงคืนความสุขให้คนในชาติ[/MUSIT]","2019-11-16 00:45:06"
"2","อยากร้อง[MUSIT]เพลงบัวลอย[/MUSIT]","2019-11-16 00:45:06"
"3","เปิด[MUSIT]เพลงแสงดาวแห่งศรัทธา[/MUSIT]ให้ฟังหน่อย","2019-11-16 00:45:06"
"4","ปิดเพลง","2019-11-16 00:45:06"
"5","เหนื่อยจังเปิด[MUSIT]เพลงชัยชนะ[/MUSIT]ให้หน่อย","2019-11-16 00:45:06"
"6","ฟัง[MUSIT]เพลงทิ้งไว้กลางทาง[/MUSIT]","2019-11-16 00:45:06"
"7","เปิด[MUSIT]เพลงสวัสดีปีใหม่ไทย[/MUSIT]","2019-11-16 03:54:17"
"8","เปิด[MUSIT]เพลงลูกอม[/MUSIT]ให้ฟังหน่อย","2019-11-16 14:57:57"
"9","เปิด[MUSIT]เพลงวันแม่[/MUSIT]ให้ฟังหน่อย","2019-11-17 17:00:35"
"10","เปิด[MUSIT]เพลงแมว[/MUSIT]","2019-12-18 02:58:21"
"11","เปิด[MUSIT]เพลงปีใหม่[/MUSIT]ให้ฟังหน่อย","2019-12-18 09:12:12"
"12","เปิด[MUSIT]เพลงความเชื่อ[/MUSIT]ของ [PERSON]bodyslam[/PERSON]","2019-12-21 19:36:09"
"13","ปิดเพลง","2019-12-24 03:57:40"
"14","หยุดเพลง","2019-12-24 03:57:40"
"15","หยุดการเล่นเพลง","2019-12-24 04:04:22"
"16","เปิด[MUSIT]เพลงคุ๊กกี้เสี่ยงทาย[/MUSIT]","2019-12-24 10:12:59"
"17","อยากฟัง[MUSIT]เพลงคืนความสุขให้คนในชาติ[/MUSIT]","2019-12-24 12:51:18"
"18","ฟัง[MUSIT]เพลงคืนความสุข[/MUSIT]","2019-12-24 12:51:18"
"19","เล่น[MUSIT]เพลงมาร์ชโรงเรียนนางรอง[/MUSIT]","2019-12-24 13:06:23"
