"1","[DATE]พรุ่งนี้[/DATE]อากาศจะเป็นอย่างไร","2019-11-16 00:45:55"
"2","[DATE]วันนี้[/DATE][TIME]ช่วงบ่าย[/TIME]อากาศจะเป็นยังไง","2019-11-16 00:45:55"
"3","อากาศที่[LOG]บุรีรัมย์[/LOG]เป็นอย่างไรบ้าง","2019-11-16 00:45:55"
"4","[DATE]พรุ่งนี้[/DATE]ถ้าจะไป[LOG]ทะเลบางแสน[/LOG]อากาศจะเป็นอย่างไร","2019-11-16 00:45:55"
"5","[DATE]พรุ่งนี้[/DATE][EVENT]ฝนตก[/EVENT]จะตกไหม","2019-11-16 00:45:55"
"6","[EVENT]อากาศหนาว[/EVENT]มากตอนนี้แล้ว[DATE]พรุ่งนี้[/DATE][EVENT]อากาศหนาว[/EVENT]ไหม","2019-11-16 00:45:55"
"7","[DATE]พรุ่งนี้[/DATE]อากาศจะเป็นอย่างไร","2019-11-17 15:35:57"
"8","[DATE]พรุ่งนี้[/DATE]เวลา [TIME]13:00 น[/TIME]สภาพอากาศจะเป็นอย่างไร","2019-11-17 15:35:57"
"9","[TIME]คืนนี้[/TIME]อากาศจะเป็นอย่างไร","2019-11-17 17:39:22"
"10","อุณหภูมิต่ำสุด[DATE]พรุ่งนี้[/DATE]เป็นเท่าไหร่","2019-11-17 17:39:22"
"11","[DATE]วันมะรืน[/DATE]อากาศจะเป็นอะไร","2019-11-17 17:39:22"
"12","[DATE]คืนนี้[/DATE]อากาศจะหนาวไหม","2019-11-17 17:39:22"
"13","[DATE]พรุ่งนี้[/DATE]สภาพอากาศที่[LOG]บุรีรัมย์[/LOG]จะเป็นอย่างไร","2019-11-17 17:39:22"
"14","[DATE]พรุ่งนี้[/DATE]ที่[LOG]หนองคาย[/LOG]อากาศจะเป็นอย่างไร","2019-11-17 17:39:22"
"15","[LOG]ระยอง[/LOG][DATE]พรุ่งนี้[/DATE]อากาศจะเป็นอะไร","2019-11-17 17:39:22"
"16","พยากรณ์อากาศ[DATE]วันพรุ่งนี้[/DATE]","2019-12-18 02:58:00"
"17","พยากรณ์อากาศ[DATE]วันนี้[/DATE]","2019-12-24 03:53:00"
"18","[DATE]พรุ่งนี้[/DATE][LOG]กรุงเทพ[/LOG]จะ[EVENT]ร้อน[/EVENT]ไหม","2019-12-24 18:16:49"
"19","ที่[LOG]บุรีรัมย์[/LOG]อากาศเป็นอย่างไร[TIME]ตอนนี้[/TIME]","2019-12-24 18:51:39"
"20","[TIME]ตอนนี้[/TIME]สภาพอากาศเป็นอย่างไรบ้าง","2019-12-25 02:01:21"
"21","สภาพอากาศที่[LOG]ประเทศอังกฤษ[/LOG]เป็นอย่างไร","2019-12-25 02:01:21"
"22","ตอน[TIME]เย็น[/TIME]อากาศจะเป็นยังไง","2019-12-25 23:21:48"
"23","[TIME]เย็น[/TIME]นี้[EVENT]ฝนจะตก[/EVENT]ไหม","2019-12-26 00:02:59"
"24","[TIME]เช้า[/TIME]นี้อากาศจะเป็นอย่างไร","2019-12-26 00:02:59"
"25","[TIME]เย็น[/TIME]นี้อากาศจะยัง[EVENT]ร้อน[/EVENT]ไหม","2019-12-26 00:02:59"
"26","[TIME]ค่ำ[/TIME]นี้อากาศจะเป็นอย่างไรบ้าง","2019-12-26 00:02:59"
"27","[TIME]ตอนนี้[/TIME]อุณหภูมิเท่าไร","2019-12-26 00:02:59"
"28","[TIME]ตอนนี้[/TIME]กี่องศานะ","2019-12-26 00:02:59"
"29","[TIME]บ่ายโมง[/TIME]นี้[EVENT]ฝนจะตก[/EVENT]ไหม","2019-12-26 00:02:59"
"30","[TIME]สิบโมงครึ่ง[/TIME][DATE]พรุ่งนี้[/DATE][EVENT]ฝนจะตก[/EVENT]ไหม","2019-12-26 00:02:59"
"31","ช่วง[TIME]เช้า[/TIME]นี้[EVENT]ฟ้าจะมืด[/EVENT]ไหม","2019-12-26 00:02:59"
"32","ใกล้[TIME]เย็น[/TIME]อากาศจะเป็นอย่างไร","2019-12-26 00:02:59"
"33","[TIME]ตอนนี้[/TIME]อากาศเป็นไงบ้าง","2019-12-26 00:02:59"
"34","[TIME]บ่ายโมงครึ่ง[/TIME]อากาศจะเป็นอย่างไร","2019-12-26 00:02:59"
"35","[TIME]ตีสอง[/TIME]ฟ้าจะเป็นอย่างไร","2019-12-26 00:02:59"
"36","สภาพอากาศ[TIME]ตอนนี้[/TIME]เป็นอย่างไร","2019-12-26 00:02:59"
"37","[TIME]7 โมงเช้า[/TIME][DATE]พรุ่งนี้[/DATE]อากาศจะเป็นอย่างไร","2019-12-26 00:02:59"
"38","อยากรู้สภาพอากาศ[TIME]ตอนนี้[/TIME]เป็นอย่างไร","2019-12-26 00:06:42"
"39","สภาพอากาศ[DATE]วันมะรืน[/DATE]เป็นอย่างไรบ้าง","2020-01-02 20:58:33"
"40","[DATE]มะรืนนี้[/DATE]สภาพอากาศเป็นอย่างไรบ้าง","2020-01-02 20:58:33"
"41","[DATE]สัปดาห์หน้า[/DATE]สภาพอากาศจะเป็นอย่างไร","2020-01-02 21:08:27"
